,message,class_num,class_label
23,View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Retinol Reviews FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login Contact Us Store Locator Our Story Offers,1,spam
24,"NBA: &quot;Top 5 NBA Plays of the Night: April 18, 2017&quot; Andres, check out the latest video from your channel subscriptions for Apr 20, 2017. Top 5 NBA Plays of the Night: April 18, 2017 21 hours",1,spam
25,"Newsletter #24 April 19, 2017 Essential news, trends, and stories from Codecademy &amp; the world of code This Week in Tech: Programming Turns 70 April 12th, 1947: ENIAC, the world&#39;s first general-",0,ham
26,Andres Soto â€“ You have flexibility at checkout when you pay with PayPal View Online Shop Deals &amp; Pay Your Way Shop Deals &amp; Pay Your Way Choose Your Way to Pay Debit Card Keep track of spending,0,ham
27,Over 550 items are now live. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest Guideshop,0,ham
28,You can meet us virtually anywhere. Wonder how your major can translate into a successful career? Curious how to apply your interests and experiences to your future? Have questions about the recruiting,0,ham
29,Hand-picked looks from Bonobos HQ. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest,0,ham
30,View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Acne Acne Environmental Shield Resurgence FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login Contact Us Store Locator,1,spam
31,"Savings of $28 per shirt when you buy 3 Jetsetter Dress Shirts Bonobos Instagram Facebook Twitter Help &amp; FAQ&#39;s | 1-877-294-7737 | Returns Bonobos, Inc. 45 W. 25th Street 5th Floor, New York, NY",0,ham
32,"View online Apply Now* *By applying you agree that, if approved, Synchrony Bank may provide you with a PayPal Extras Mastercard or, as available, a PayPal Platinum MastercardÂ® account. See additional",0,ham
33,"Champions League kicks off, don&#39;t miss a game with fuboTV View in browser Upgrade Today Messi, Ronaldo, Bale, Neymar, Neuer, Robben. Watch the world&#39;s best face off in the second leg of the",0,ham
34,Hiring New Promoters!! AIM Hospitality Group is looking to hire people who want to make money promoting the best nightclubs in New York City! Email Mike@aimgroupny.com if you are interested. Copyright,0,ham
35,"Andres Soto âˆ’ With PayPal Credit, shop from your PayPal wallet right away and wait to pay on all purchases of $99 or more. Apply Now. View online PayPal Credit PayPal credit Get more time to pay with",0,ham
36,Better-fitting gear for the course. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest,0,ham
37,View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Hydro-Glow Aqua Peel Clarifying Mask Intensive-C Radiance Peel FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login,1,spam
38,Pick your new favorite pair. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest Guideshop,0,ham
39,Andres Soto â€“ Celebrate festival season &amp; save. View Online 10% OFF your purchase of iTunes codes.* iTunes | Shop Now 10% OFF your purchase of iTunes codes.* iTunes | Shop Now crowd image crowd,0,ham
40,"View this email in your browser XLARGE | Shop now Most outfits start with the top, but this starts at the bottom with our Kopelson Cargo that has been crushing it lately. Blurhms&#39; Cut-off",0,ham
41,A simpler way to dress for the office. FREE SHIPPING &amp; RETURNS IN THE US Bonobos WEEKDAY WARRIORS | Non-iron cotton &amp; an army of colors make it easier to rise through the ranks. | SHOP NOW |,0,ham
42,$25 Off $100 + Free Shipping Promo Code: SAVE25 View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers $25 Off $100 FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login,1,spam
43,"Now&#39;s your chance - our most popular offer! Expires 4/30/2017 View Offer LA Fitness logo You&#39;ve got options Exclusive online offer Join with multi-club, single-state access or single club",1,spam
44,"Access for less secure apps has been turned on Hi Andres, You recently changed your security settings so that your Google Account ads2207@gmail.com is no longer protected by modern security standards.",0,ham
45,"Review blocked sign-in attempt Hi Andres, Google just blocked someone from signing into your Google Account ads2207@gmail.com from an app that may put your account at risk. Less secure app Thursday,",1,spam
46,"Dear Andres, May you feel the joy of renewal, peace &amp; happiness this Easter holiday. Be sure to download / upgrade your CarmelLimo App and Save up to $5 with our Coupon when you reserve your car!",0,ham
47,"Andres Soto â€“ We&#39;ll cover return shipping costs for eligible purchases. View Online Don&#39;t love it? Don&#39;t keep it. PayPal covers return shipping costs on all eligible items, so you can shop",0,ham
48,$25 Off $100 + Free Shipping Promo Code: SAVE25 View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers $25 Off $100 FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login,1,spam
49,Indagare knows best. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest Guideshop location.,0,ham
50,"NBA: &quot;Russell Westbrook NBA RECORD 42ND TRIPLE DOUBLE Full Game Highlight...&quot; Andres, check out the latest video from your channel subscriptions for Apr 13, 2017. Russell Westbrook NBA RECORD",1,spam
51,Andres Soto â€“ Make your home more unique with finds from neighborhood businesses View Online RETURN SHIPPING&#39;S ON US Learn More &amp; See Limitations* RETURN SHIPPING&#39;S ON US Learn More &amp;,0,ham
52,"Hurry up, so you can stock up. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Instagram Facebook Twitter Help &amp; FAQ&#39;s | 1-877-294-7737 | Returns Bonobos, Inc. 45 W. 25th Street 5th Floor, New",0,ham
53,"Heyaaa, We&#39;ve added a dazzling number of project courses to Mimo that guide you through building real iOS apps, creating your personal blog, and becoming a white-hat hacker! _Ÿ“__Ÿ_€ Open the app Up high",0,ham
54,"Introducing Horizons One - the world&#39;s first tuition-free technology co-op program. No Images? Click here HORIZONS ONE Andres, On behalf of the entire Horizons team, we are thrilled to announce the",0,ham
55,"Dear ANDRES, We are sending the following account notification at your request. The statement for the following account is now available within TD Bank Online Banking. TD STUDENT CHECKING XXXXXXXX0743",0,ham
56,Here&#39;s how to pull off pastels. FREE SHIPPING &amp; RETURNS IN THE US Bonobos 25% Off Orders of $175 or More USE CODE SAVE4SPRING â†’ Instagram Facebook Twitter Help &amp; FAQ&#39;s | 1-877-294-7737,0,ham
57,"Champions League kicks off, don&#39;t miss a game with fuboTV View in browser Champions League Champions League Returns! Watch as these eight great teams battle it out to see who will hoist the",0,ham
58,"Easter is Sunday, April 16. | Andres, View Your Points &amp; Purchases View In Browser GameStop GIFT CARDS PRE-OWNED TRADE POWER UP REWARDS GAMES CONSOLES ACCESSORIES COLLECTIBLES Get excellent deals",1,spam
59,"Limited time only. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Instagram Facebook Twitter Help &amp; FAQ&#39;s | 1-877-294-7737 | Returns Bonobos, Inc. 45 W. 25th Street 5th Floor, New York, NY 10010",0,ham
60,Free Shipping On All Orders View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Free Shipping FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login Contact Us Store Locator,1,spam
61,Stretch Washed Chino Shorts in 4 inseams. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest,0,ham
62,Suits tailor-made for the season. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest Guideshop,0,ham
63,Free Shipping On All Orders View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Free Shipping FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login Contact Us Store Locator,1,spam
64,"It&#39;s easy, free, and only takes a few minutes. View Online Nelnet Logo Log in ANDRES Account: EXXXXX4366 Create Your Account Today Dear ANDRES, Creating an online account at Nelnet.com will make",0,ham
65,Andrea Soto has invited you to edit the following spreadsheet: Andres Graduation Invitiation List Open in Sheets Google Sheets: Create and edit spreadsheets online. Google Inc. 1600 Amphitheatre,0,ham
66,"Dear Andres, Wishing you a Spring fresh with new promises and a Passover blossoming with joy. Remember to download / upgrade your CarmelLimo App and Save up to $5 with our Coupon when you reserve your",0,ham
67,Free Shipping On All Orders View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Free Shipping FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login Contact Us Store Locator,1,spam
68,Shop printed Summer Weight Shirts. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest,0,ham
69,RockAuto Newsletter April Newsletter | Early Edition Hello All RockAuto Customers! See what&#39;s new at RockAuto http://www.rockauto.com/Newsletter in the Early Edition of the April Newsletter. This,1,spam
70,"Finally, live TV made for you! Watch and record live sports and must-see shows from ABC, CBS, FOX, NBC, and more. YouTube TV has launched in the Chicago, Los Angeles, New York City, Philadelphia, and",0,ham
71,"Earn cool rewards for sharing your opinions. Andres, View Your Points &amp; Purchases View In Browser GameStop PRE-OWNED â€¢ TRADE VALUES â€¢ DEALS â€¢ POWER UP REWARDS Join the e-Rewards Â® Opinion Panel and",0,ham
72,View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Hydro-Dynamic Quenching Essence Intensive-C Radiance Peel Acne Body Wash faceBook Pinterest Instagram Google-plus youtube Offer,1,spam
73,FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest Guideshop location. FIND A LOCATION â†’ Visit,0,ham
74,Netflix Tell us what you like with a thumb Rate TV shows &amp; movies to improve our suggestions for you. Get started with these titles The Office (US) American Crime Story: The People v. OJ Simpson,0,ham
75,"Get Your Favorite New York Teams on YES Network with fuboTV View in browser Stream Your New York Teams Live New York Fans, the sports seasons are in full swing and we have you covered. Fubo Premier now",1,spam
76,"If you are having trouble viewing this email, click here WE DID IT! Thanks to you, our loyal alumni, we have claimed victory and earned bragging rights for the first-ever March Madness Alumni Challenge",0,ham
77,"Art-filled Thursday coming your way Is this email not displaying correctly? View this email in your browser April Showers...are good for Art Walks! DUMBO&#39;s First Thursday Gallery Walk is tomorrow,",0,ham
78,"NBA: &quot;BEST Crossovers and Handles of March 2017!&quot; Andres, check out the latest video from your channel subscriptions for Apr 5, 2017. BEST Crossovers and Handles of March 2017! 4 days ago â€¢",0,ham
79,"View this email in your browser MAGIC STICK | Shop now Puma FENTY by Rihanna | Shop now It&#39;s the beginning of April, the foolery is over and it&#39;s a time of transition. Change can be",0,ham
80,Andres Soto â€“ Enjoy deals to bring spring into your home View Online RETURN SHIPPING&#39;S ON US Learn more &amp; See limitations* RETURN SHIPPING&#39;S ON US Learn more &amp; See limitations* Trusted,0,ham
81,FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest Guideshop location. FIND A LOCATION â†’ NEW,0,ham
82,View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers 3 Hydration Products Hydro-Glow Aqua Peel Hydro-Glow Supplements Hydro-Dynamic Ultimate Moisture FB TW Pin IG G+ YT Blog Samples,1,spam
83,"Dear ANDRES, We are sending the following account notification at your request. The statement for the following account is now available within TD Bank Online Banking. CONVENIENCE SAVINGS STMT",0,ham
84,You can meet us virtually anywhere. Wonder how your major can translate into a successful career? Curious how to apply your interests and experiences to your future? Have questions about the recruiting,0,ham
85,"We&#39;re writing to let you know we will be making changes to the SoundCloud Privacy Policy as of May 17, 2017. You can now review the new Privacy Policy in advance of these changes. Important",0,ham
86,"Shop Apple Watch Shop bands Mix and match cases and bands Get fast, free delivery and free returns for your purchase. Learn more Buy online and pick up available items today. Learn more We&#39;ll help",0,ham
87,FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest Guideshop location. FIND A LOCATION â†’ Visit,0,ham
88,"Over 130 destinations to choose from. Your next adventure starts here! - If you have problems to view this message, click here Beach, books and roses... Does it get any better than that? Get away with",0,ham
89,"Stay tuned for even more offers in the week to come. | Andres, View Your Points &amp; Purchases View In Browser GameStop GIFT CARDS PRE-OWNED TRADE POWER UP REWARDS GAMES CONSOLES ACCESSORIES",0,ham
90,View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Exclusively on Murad.com City Skin Claims Duo Puzzles For Brain Health FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions,1,spam
91,Choose cotton linen for in-between temps. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest,0,ham
92,"Andres, View Your Points &amp; Purchases View In Browser GameStop PowerUp Rewards GIFT CARDS PRE-OWNED TRADE POWER UP REWARDS GAMES CONSOLES ACCESSORIES COLLECTIBLES Your Pro Membership has expired.",1,spam
93,Opening Day is here and fuboTV has you covered! View in browser World Cup Qualifiers Opening Day has arrived for the MLB season and the first pitches are right around the corner. This year fuboTV has,0,ham
94,Looks for opening day or every day. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Get 20% off your first purchase. Use code GETSTARTED20 â†’ Come try on your perfect fit in person at your closest,0,ham
95,"Mother&#39;s Day is May 14th! We&#39;ve got you covered. Dear ANDRES, Mother&#39;s Day is just around the corner! But never fear- no matter what kind of dangerous creature your mother might be-- a",0,ham
96,"Rejoin LA Fitness with multi-club, single-state access! LA Fitness Join Now â†’ We Want You Back! Rejoin LA Fitness with our special online offer. This is a one-time use offer, unique to you! This offer",1,spam
97,"You&#39;re a little late...they&#39;re already torn. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Instagram Facebook Twitter Help &amp; FAQ&#39;s | 1-877-294-7737 | Returns Bonobos, Inc. 45 W. 25th",0,ham
98,"If you are having trouble viewing this email, click here NCCS Alumni - You&#39;ve brought us this far, but we still need you before the final buzzer! We&#39;ve reached the FINAL FOUR (final four hours)",0,ham
99,"If you are having trouble viewing this email, click here Thanks to you we&#39;ve surged ahead, but the game is not over yet! It&#39;s the LAST DAY of the Alumni March Madness Challenge and YOU can help",0,ham
